enabled,namespace,key,source_hash,source,translation,category,confirmed_in_2025_dump
1,Content,1621058252,1621058252,Aberrant Achatina,Achatina aberrante,tabla_usuario,1
1,Content,677671683,677671683,Aberrant Anglerfish,Pez Abisal aberrante,tabla_usuario,1
1,Content,2468460652,2468460652,Aberrant Ankylosaurus,Ankylosaurio aberrante,tabla_usuario,1
1,Content,4191882268,4191882268,Aberrant Araneo,Araneo aberrante,tabla_usuario,1
1,Content,2938218416,2938218416,Aberrant Arthropluera,Arthropluera aberrante,tabla_usuario,1
1,Content,815840985,815840985,Aberrant Baryonyx,Baryonyx aberrante,tabla_usuario,1
1,Content,3339621888,3339621888,Aberrant Beelzebufo,Beelzebufo aberrante,tabla_usuario,1
1,Content,273052128,273052128,Aberrant Carbonemys,Carbonemys aberrante,tabla_usuario,1
1,Content,3941674277,3941674277,Aberrant Carnotaurus,Carnotauro aberrante,tabla_usuario,1
1,Content,319395843,319395843,Aberrant Cnidaria,Cnidaria aberrante,tabla_usuario,1
1,Content,1865064083,1865064083,Aberrant Coelacanth,Celacanto aberrante,tabla_usuario,1
1,Content,3573762740,3573762740,Aberrant Deinosuchus,Deinosuchus aberrante,tabla_usuario,0
1,Content,1866449876,1866449876,Aberrant Dimetrodon,Dimetrodon aberrante,tabla_usuario,1
1,Content,1145101744,1145101744,Aberrant Dimorphodon,Dimorphodon aberrante,tabla_usuario,1
1,Content,609603874,609603874,Aberrant Diplocaulus,Diplocaulus aberrante,tabla_usuario,1
1,Content,3073705065,3073705065,Aberrant Diplodocus,Diplodocus aberrante,tabla_usuario,1
1,Content,2165895884,2165895884,Aberrant Dire Bear,Oso Gigante aberrante,tabla_usuario,1
1,Content,1063211289,1063211289,Aberrant Dodo,Dodo aberrante,tabla_usuario,1
1,Content,973323254,973323254,Aberrant Doedicurus,Doedicurus aberrante,tabla_usuario,1
1,Content,2803409849,2803409849,Aberrant Dung Beetle,Escarabajo Pelotero aberrante,tabla_usuario,1
1,Content,2013219616,2013219616,Aberrant Electrophorus,Electrophorus aberrante,tabla_usuario,1
1,Content,1256234841,1256234841,Aberrant Equus,Equus aberrante,tabla_usuario,1
1,Content,745058715,745058715,Aberrant Fasolasuchus,Fasolasuchus aberrante,tabla_usuario,1
1,Content,2291231478,2291231478,Aberrant Gigantopithecus,Gigantopithecus aberrante,tabla_usuario,1
1,Content,1681277570,1681277570,Aberrant Gigantoraptor,Gigantoraptor aberrante,tabla_usuario,1
1,Content,1029301672,1029301672,Aberrant Iguanodon,Iguanodon aberrante,tabla_usuario,1
1,Content,2474070019,2474070019,Aberrant Lystrosaurus,Listrosaurio aberrante,tabla_usuario,1
1,Content,2049745165,2049745165,Aberrant Manta,Manta aberrante,tabla_usuario,1
1,Content,3146771031,3146771031,Aberrant Megalania,Megalania aberrante,tabla_usuario,1
1,Content,2621699864,2621699864,Aberrant Megalosaurus,Megalosaurio aberrante,tabla_usuario,1
1,Content,4180391123,4180391123,Aberrant Meganeura,Meganeura aberrante,tabla_usuario,1
1,Content,4225120434,4225120434,Aberrant Moschops,Moschops aberrante,tabla_usuario,1
1,Content,940505168,940505168,Aberrant Otter,Nutria aberrante,tabla_usuario,1
1,Content,768429584,768429584,Aberrant Oviraptor,Oviraptor aberrante,tabla_usuario,1
1,Content,1979666495,1979666495,Aberrant Ovis,Ovis aberrante,tabla_usuario,1
1,Content,4170321601,4170321601,Aberrant Paraceratherium,Paraceratherium aberrante,tabla_usuario,1
1,Content,1671571390,1671571390,Aberrant Parasaur,Parasaurio aberrante,tabla_usuario,1
1,Content,1122427633,1122427633,Aberrant Piranha,Piraña aberrante,tabla_usuario,1
1,Content,1112776898,1112776898,Aberrant Pulmonoscorpius,Pulmonoscorpio aberrante,tabla_usuario,1
1,Content,2554737031,2554737031,Aberrant Purlovia,Purlovia aberrante,tabla_usuario,1
1,Content,202507774,202507774,Aberrant Raptor,Raptor aberrante,tabla_usuario,1
1,Content,4089972568,4089972568,Aberrant Sabertooth Salmon,Salmón Dientes de Sable aberrante,tabla_usuario,0
1,Content,1196208837,1196208837,Aberrant Salmon,Salmón Dientes de Sable aberrante,variante_verificada_adicional,1
1,Content,480357939,480357939,Aberrant Sarco,Sarco aberrante,tabla_usuario,1
1,Content,2992725279,2992725279,Aberrant Spino,Spino aberrante,tabla_usuario,1
1,Content,820261916,820261916,Aberrant Stegosaurus,Estegosaurio aberrante,tabla_usuario,1
1,Content,489214232,489214232,Aberrant Titanoboa,Titanoboa aberrante,tabla_usuario,1
1,Content,1910573987,1910573987,Aberrant Triceratops,Triceratops aberrante,tabla_usuario,1
1,Content,2999587766,2999587766,Aberrant Trilobite,Trilobite aberrante,tabla_usuario,1
1,Content,2090365094,2090365094,Achatina,Achatina,tabla_usuario,1
1,Content,3798851105,3798851105,Acrocanthosaurus,Acrocanthosaurio,tabla_usuario,0
1,Content,2339720462,2339720462,Allosaurus,Alosaurio,tabla_usuario,1
1,Content,457701453,457701453,Alpha Basilisk,Basilisco Alfa,tabla_usuario,1
1,Content,2122811928,2122811928,Alpha Carno,Carnotauro Alfa,tabla_usuario,0
1,Content,1297804770,1297804770,Alpha Carnotaurus,Carnotauro Alfa,variante_verificada_adicional,1
1,Content,4081743115,4081743115,Alpha Corrupted Master Controller,Corrupted Master Controller Alfa,tabla_usuario,0
1,Content,141137330,141137330,Alpha Deathworm,Deathworm Alfa,tabla_usuario,1
1,Content,3646474744,3646474744,Alpha Fire Wyvern,Wyvern de Fuego Alfa,tabla_usuario,1
1,Content,4061836693,4061836693,Alpha Karkinos,Karkinos Alfa,tabla_usuario,1
1,Content,751014492,751014492,Alpha King Titan,King Titan Alfa,tabla_usuario,1
1,Content,755364723,755364723,Alpha Leedsichthys,Leedsichthys Alfa,tabla_usuario,1
1,Content,537730960,537730960,Alpha Megalodon,Megalodon Alfa,tabla_usuario,1
1,Content,1561935578,1561935578,"Alpha Moeder, Master of the Ocean",Moeder Alfa,tabla_usuario,0
1,Content,1353830480,1353830480,Alpha Mosasaur,Mosasaurus Alfa,tabla_usuario,1
1,Content,3546998250,3546998250,Alpha Palaeoctopus,Palaeoctopus Alfa,tabla_usuario,0
1,Content,3317907070,3317907070,Alpha Raptor,Raptor Alfa,tabla_usuario,1
1,Content,2663172621,2663172621,Alpha Skeletal Carnotaurus,Carnotauro esquelético Alfa,variante_verificada_adicional,1
1,Content,180284951,180284951,Alpha Skeletal Fire Wyvern,Wyvern de Fuego esquelético Alfa,variante_verificada_adicional,1
1,Content,3683644862,3683644862,Alpha Skeletal Raptor,Raptor esquelético Alfa,variante_verificada_adicional,1
1,Content,205760133,205760133,Alpha Skeletal Rex,Rex esquelético Alfa,variante_verificada_adicional,1
1,Content,192333333,192333333,Alpha Skeletal T-Rex,Rex esquelético Alfa,variante_verificada_adicional,1
1,Content,3026327265,3026327265,Alpha Surface Reaper King,Reaper King Alfa,tabla_usuario,1
1,Content,2127301140,2127301140,Alpha T-Rex,Rex Alfa,tabla_usuario,1
1,Content,860261664,860261664,Alpha Tusoteuthis,Tusoteuthis Alfa,tabla_usuario,1
1,Content,2390631500,2390631500,Alpha X-Triceratops,Triceratops X Alfa,tabla_usuario,1
1,Content,1324150771,1324150771,Amargasaurus,Amargasaurus,tabla_usuario,1
1,Content,4124907545,4124907545,Ammonite,Amonita,tabla_usuario,1
1,Content,2432956663,2432956663,Andrewsarchus,Andrewsarchus,tabla_usuario,1
1,Content,555419820,555419820,Anglerfish,Pez Abisal,tabla_usuario,1
1,Content,1992228678,1992228678,Anglerfish Ghost,Pez Abisal fantasma,tabla_usuario,0
1,Content,213688630,213688630,Ankylo,Ankylosaurio,alias_base:Ankylosaurus,1
1,Content,4182185208,4182185208,Ankylosaurus,Ankylosaurio,tabla_usuario,1
1,Content,1770493734,1770493734,Ankylosaurus Ghost,Ankylosaurio fantasma,tabla_usuario,0
1,Content,2888864396,2888864396,Araneo,Araneo,tabla_usuario,1
1,Content,2749656155,2749656155,Archaeopteryx,Archaeopteryx,tabla_usuario,1
1,Content,1358490846,1358490846,Archelon,Archelon,tabla_usuario,1
1,Content,1670834554,1670834554,Argentavis,Argentavis,tabla_usuario,1
1,Content,3897019499,3897019499,Argentavis Ghost,Argentavis fantasma,tabla_usuario,0
1,Content,2645276728,2645276728,Armadoggo,Armadoggo,tabla_usuario,1
1,Content,3309767460,3309767460,Arthropluera,Arthropluera,tabla_usuario,1
1,Content,3025017779,3025017779,Astral Argentavis,Argentavis Astral,tabla_usuario,1
1,Content,2591387656,2591387656,Astral Carnotaurus,Carnotauro Astral,tabla_usuario,1
1,Content,2777094041,2777094041,Astral Deinosuchus,Deinosuchus Astral,tabla_usuario,1
1,Content,1232788355,1232788355,Astral Direwolf,Lobo Gigante Astral,tabla_usuario,0
1,Content,1806108310,1806108310,Astral Leedsichthys,Leedsichthys Astral,variante_verificada_adicional,1
1,Content,1749205423,1749205423,Astral Mammoth,Mamut Astral,tabla_usuario,0
1,Content,2548016331,2548016331,Astral Megalodon,Megalodon Astral,tabla_usuario,1
1,Content,273620764,273620764,Astral Mosasaur,Mosasaurus Astral,tabla_usuario,1
1,Content,626916808,626916808,Astral Pulmonoscorpius Monarch,Monarca Pulmonoscorpius Astral,tabla_usuario,0
1,Content,2959982446,2959982446,Astral Raptor,Raptor Astral,tabla_usuario,1
1,Content,295953773,295953773,Astral Rock Drake,Dragón de Roca Astral,tabla_usuario,0
1,Content,3880005309,3880005309,Astral T-Rex,Rex Astral,tabla_usuario,1
1,Content,3832090826,3832090826,Astral Tusoteuthis,Tusoteuthis Astral,tabla_usuario,1
1,Content,2924472279,2924472279,Astrocetus,Astrocetus,tabla_usuario,1
1,Content,1443696505,1443696505,Astrodelphis,Astrodelphis,tabla_usuario,1
1,Content,1528545522,1528545522,Attack Drone,Dron de ataque,tabla_usuario,1
1,Content,969826437,969826437,Aureliax,Aureliax,tabla_usuario,0
1,Content,2788436121,2788436121,Autumn Drakeling,Drakeling de otoño,tabla_usuario,0
1,Content,311695513,311695513,Autumn Drakeling Ghost,Drakeling de otoño fantasma,tabla_usuario,0
1,Content,749186227,749186227,Baryonyx,Baryonyx,tabla_usuario,1
1,Content,3279477621,3279477621,Basilisk,Basilisco,tabla_usuario,1
1,Content,2259069615,2259069615,Basilisk Ghost,Basilisco fantasma,tabla_usuario,1
1,Content,2359864766,2359864766,Basilosaurus,Basilosaurio,tabla_usuario,1
1,Content,3463572911,3463572911,Beelzebufo,Beelzebufo,tabla_usuario,1
1,Content,2710176156,2710176156,Beta Corrupted Master Controller,Corrupted Master Controller Beta,tabla_usuario,0
1,Content,68012890,68012890,Beta King Titan,King Titan Beta,tabla_usuario,1
1,Content,265898573,265898573,"Beta Moeder, Master of the Ocean",Moeder Beta,tabla_usuario,0
1,Content,2503978861,2503978861,Bison,Bisonte,tabla_usuario,0
1,Content,3204773931,3204773931,Bloodstalker,Acechador Sangriento,tabla_usuario,1
1,Content,2597014499,2597014499,Boaratos,Boaratos,tabla_usuario,0
1,Content,4170044689,4170044689,Bone Fire Wyvern,Wyvern de Fuego esquelético,tabla_usuario,1
1,Content,1690172602,1690172602,Bronto,Brontosaurio,alias_base:Brontosaurus,1
1,Content,3240677873,3240677873,Brontosaurus,Brontosaurio,tabla_usuario,1
1,Content,3130187539,3130187539,Broodmother Lysrix,Matriarca Lysrix,tabla_usuario,1
1,Content,3952053016,3952053016,Broodmother Lysrix (Alpha),Matriarca Lysrix Alfa,tabla_usuario,1
1,Content,3214494135,3214494135,Broodmother Lysrix (Beta),Matriarca Lysrix Beta,tabla_usuario,1
1,Content,2586694706,2586694706,Broodmother Lysrix (Gamma),Matriarca Lysrix Gamma,tabla_usuario,1
1,Content,1760991825,1760991825,Brute Araneo,Araneo brutal,tabla_usuario,0
1,Content,63736466,63736466,Brute Araneo ,Araneo brutal,variante_verificada_adicional,1
1,Content,461291798,461291798,Brute Astrocetus,Astrocetus brutal,tabla_usuario,1
1,Content,2177414621,2177414621,Brute Basilosaurus,Basilosaurio brutal,tabla_usuario,1
1,Content,2992955464,2992955464,Brute Bloodstalker,Acechador Sangriento brutal,tabla_usuario,1
1,Content,33417838,33417838,Brute Ferox,Ferox brutal,tabla_usuario,1
1,Content,1833150912,1833150912,Brute Fire Wyvern,Wyvern de Fuego brutal,tabla_usuario,1
1,Content,897012754,897012754,Brute Leedsichthys,Leedsichthys brutal,tabla_usuario,1
1,Content,1171742652,1171742652,Brute Magmasaur,Magmasaur brutal,tabla_usuario,1
1,Content,3288646760,3288646760,Brute Malfunctioned Tek Giganotosaurus,Giganotosaurio Tek averiado brutal,tabla_usuario,1
1,Content,3310828708,3310828708,Brute Malfunctioned Tek Rex,Rex Tek averiado brutal,tabla_usuario,1
1,Content,1081703628,1081703628,Brute Mammoth,Mamut brutal,tabla_usuario,1
1,Content,2127878906,2127878906,Brute Megaloceros,Megaloceros brutal,tabla_usuario,1
1,Content,2583753634,2583753634,Brute Plesiosaur,Plesiosaurio brutal,tabla_usuario,1
1,Content,1116201593,1116201593,Brute Reaper King,Reaper King brutal,tabla_usuario,1
1,Content,2229381050,2229381050,Brute Sarco,Sarco brutal,tabla_usuario,1
1,Content,566595584,566595584,Brute Seeker,Rastreador brutal,tabla_usuario,0
1,Content,2256665479,2256665479,Brute Seeker ,Rastreador brutal,variante_verificada_adicional,1
1,Content,2271079704,2271079704,Brute Tusoteuthis,Tusoteuthis brutal,tabla_usuario,1
1,Content,3877206751,3877206751,Brute X-Allosaurus,Alosaurio X brutal,tabla_usuario,1
1,Content,1630750610,1630750610,Brute X-Megalodon,Megalodon X brutal,tabla_usuario,1
1,Content,1740664207,1740664207,Brute X-Mosasaurus,Mosasaurus X brutal,tabla_usuario,1
1,Content,565918147,565918147,Brute X-Raptor,Raptor X brutal,tabla_usuario,1
1,Content,744465577,744465577,Brute X-Rex,Rex X brutal,tabla_usuario,1
1,Content,752063398,752063398,Brute X-Rock Elemental,Elemental de roca X brutal,tabla_usuario,1
1,Content,1387102229,1387102229,Brute X-Spino,Spino X brutal,tabla_usuario,1
1,Content,3111758435,3111758435,Brute X-Yutyrannus,Yutyrannus X brutal,tabla_usuario,1
1,Content,1738212817,1738212817,Bulbdog,Perro Abisal,tabla_usuario,1
1,Content,1029063403,1029063403,Bulbdog Ghost,Perro Abisal fantasma,tabla_usuario,1
1,Content,2694348922,2694348922,Bunny Dodo,Dodo con orejas de conejo,tabla_usuario,1
1,Content,542015784,542015784,Bunny Oviraptor,Oviraptor con orejas de conejo,tabla_usuario,1
1,Content,3815900198,3815900198,Burrowbuck,Burrowbuck,tabla_usuario,0
1,Content,2730132218,2730132218,Camelsaurus,Morellatops,alias_base:Morellatops,1
1,Content,423168591,423168591,Carbonemys,Carbonemys,tabla_usuario,1
1,Content,285102348,285102348,Carcha,Carcharodontosaurio,alias_base:Carcharodontosaurus,1
1,Content,1320948213,1320948213,Carcharodontosaurus,Carcharodontosaurio,tabla_usuario,1
1,Content,1828200688,1828200688,Carno,Carnotauro,alias_base:Carnotaurus,1
1,Content,1982234202,1982234202,Carnotaurus,Carnotauro,tabla_usuario,1
1,Content,1384149041,1384149041,Castoroides,Castoroides,tabla_usuario,1
1,Content,3291755649,3291755649,Cat,Gato,tabla_usuario,0
1,Content,965236407,965236407,Cat Ghost,Gato fantasma,tabla_usuario,0
1,Content,940628286,940628286,Ceratosaurus,Ceratosaurio,tabla_usuario,1
1,Content,2030038418,2030038418,Ceratosaurus Ghost,Ceratosaurio fantasma,tabla_usuario,0
1,Content,3482516962,3482516962,Chalicotherium,Calicoterio,tabla_usuario,1
1,Content,252611177,252611177,Cnidaria,Cnidaria,tabla_usuario,1
1,Content,1716905276,1716905276,Coelacanth,Celacanto,tabla_usuario,1
1,Content,783650700,783650700,Compy,Compy,tabla_usuario,1
1,Content,1330378407,1330378407,Corrupted Arthropluera,Arthropluera corrupto,tabla_usuario,1
1,Content,2515914392,2515914392,Corrupted Carnotaurus,Carnotauro corrupto,tabla_usuario,1
1,Content,2602257546,2602257546,Corrupted Chalicotherium,Calicoterio corrupto,tabla_usuario,1
1,Content,3546752139,3546752139,Corrupted Deathworm,Deathworm corrupto,variante_verificada_adicional,1
1,Content,3480201776,3480201776,Corrupted Dilophosaur,Dilophosaur corrupto,tabla_usuario,1
1,Content,994328077,994328077,Corrupted Dimorphodon,Dimorphodon corrupto,tabla_usuario,1
1,Content,453930882,453930882,Corrupted Giganotosaurus,Giganotosaurio corrupto,tabla_usuario,1
1,Content,3821723323,3821723323,Corrupted Master Controller,Corrupted Master Controller,tabla_usuario,1
1,Content,3318816004,3318816004,Corrupted Paraceratherium,Paraceratherium corrupto,tabla_usuario,1
1,Content,83119233,83119233,Corrupted Pteranodon,Pteranodon corrupto,tabla_usuario,1
1,Content,2930259306,2930259306,Corrupted Raptor,Raptor corrupto,tabla_usuario,1
